2022-05-24T18:40:50.472486307Z .:5353
2022-05-24T18:40:50.472619666Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:50.472654510Z CoreDNS-1.8.7
2022-05-24T18:40:50.472654510Z linux/amd64, go1.17.5, 
2022-05-24T19:39:16.290623436Z [INFO] 10.128.4.12:57220 - 5198 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000317896s
2022-05-24T19:39:21.162523324Z [INFO] 10.128.4.12:49713 - 31475 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000365338s
2022-05-24T19:39:21.231928211Z [INFO] 10.128.4.12:33118 - 2667 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000314695s
2022-05-24T19:43:28.245385762Z [INFO] 10.129.2.6:54548 - 23580 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000294549s
2022-05-24T19:43:56.139328719Z [INFO] 10.128.0.75:34102 - 12158 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000370419s
2022-05-24T19:46:03.476710892Z [INFO] 10.128.4.12:44296 - 36517 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000315906s
2022-05-24T19:46:49.308564393Z [INFO] 10.131.0.6:32852 - 36530 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00071255s
2022-05-24T19:46:50.347355847Z [INFO] 10.128.0.28:36658 - 3049 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000253377s
2022-05-24T19:46:53.236492527Z [INFO] 10.129.0.4:59596 - 48225 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000302115s
2022-05-24T19:47:20.817495441Z [INFO] 10.130.2.10:48706 - 25635 "AAAA IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000347658s
2022-05-24T19:48:42.261814294Z [INFO] 10.128.0.75:45895 - 65178 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000415363s
2022-05-24T19:48:44.589481477Z [INFO] 10.128.4.12:51498 - 42875 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00038776s
2022-05-24T19:48:45.206566557Z [INFO] 10.131.2.2:39564 - 52303 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00032897s
2022-05-24T19:50:01.829650732Z [INFO] 10.128.4.13:51428 - 40937 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000327046s
2022-05-24T19:50:28.560938174Z [INFO] 10.129.2.6:37452 - 23326 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000572128s
2022-05-24T19:51:44.342610434Z [INFO] 10.128.0.75:49545 - 20648 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000339446s
2022-05-24T19:51:44.342702637Z [INFO] 10.128.0.75:39800 - 50124 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00044966s
2022-05-24T19:51:45.401104550Z [INFO] 10.131.2.2:52428 - 63461 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000327868s
2022-05-24T19:52:50.747938255Z [INFO] 10.128.0.28:48150 - 41943 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000360294s
2022-05-24T19:53:56.418559717Z [INFO] 10.130.2.2:40632 - 54760 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000326629s
2022-05-24T19:56:00.356451478Z [INFO] 10.128.0.75:59896 - 37577 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000420481s
2022-05-24T19:56:00.530162236Z [INFO] 10.128.0.75:33284 - 9261 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000370253s
2022-05-24T19:56:00.530371844Z [INFO] 10.128.0.75:35165 - 34620 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000440225s
2022-05-24T19:57:14.214393489Z [INFO] 10.128.2.5:34016 - 18369 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000309099s
2022-05-24T20:03:00.630487035Z [INFO] 10.128.0.75:59962 - 27214 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000412786s
2022-05-24T20:05:29.051302152Z [INFO] 10.129.2.6:47440 - 16589 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000647897s
2022-05-24T20:06:19.515442303Z [INFO] 10.128.4.12:54222 - 5611 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000326038s
2022-05-24T20:12:58.913951348Z [INFO] 10.128.0.75:47641 - 28071 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000602967s
2022-05-24T20:13:24.926519828Z [INFO] 10.128.0.75:34484 - 18923 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000353634s
2022-05-24T20:21:29.974589253Z [INFO] 10.129.2.6:43134 - 35510 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000557878s
2022-05-24T20:23:33.224148156Z [INFO] 10.128.4.12:45436 - 61508 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000419219s
2022-05-24T20:33:04.461226111Z [INFO] 10.128.0.75:58964 - 5436 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000328796s
2022-05-24T20:33:05.854128985Z [INFO] 10.128.0.75:45402 - 42272 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.0003182s
2022-05-24T20:33:07.636979798Z [INFO] 10.128.0.75:42100 - 49140 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000320133s
