2022-05-24T18:32:34.745738586Z I0524 18:32:34.745727       1 nodelink_controller.go:109] Adding internal IP "10.0.148.123" for machine "odf-service-c778b-infra-us-east-1b-8zwxb" to indexer
2022-05-24T18:32:34.745747941Z I0524 18:32:34.745735       1 nodelink_controller.go:70] Adding providerID "aws:///us-east-1b/i-0fd88aea8dcbaf37d" for machine "odf-service-c778b-worker-us-east-1b-6tmr9" to indexer
2022-05-24T18:32:34.745757326Z I0524 18:32:34.745745       1 nodelink_controller.go:109] Adding internal IP "10.0.145.179" for machine "odf-service-c778b-worker-us-east-1b-6tmr9" to indexer
2022-05-24T18:32:34.745766898Z I0524 18:32:34.745755       1 nodelink_controller.go:70] Adding providerID "aws:///us-east-1a/i-04d2d626708aed120" for machine "odf-service-c778b-infra-us-east-1a-7w96w" to indexer
2022-05-24T18:32:34.745766898Z I0524 18:32:34.745763       1 nodelink_controller.go:109] Adding internal IP "10.0.140.240" for machine "odf-service-c778b-infra-us-east-1a-7w96w" to indexer
2022-05-24T18:32:34.745785774Z I0524 18:32:34.745775       1 nodelink_controller.go:70] Adding providerID "aws:///us-east-1b/i-07d6fd06fbda403d2" for machine "odf-service-c778b-master-1" to indexer
2022-05-24T18:32:34.745825852Z I0524 18:32:34.745809       1 nodelink_controller.go:109] Adding internal IP "10.0.149.121" for machine "odf-service-c778b-master-1" to indexer
2022-05-24T18:32:34.745850647Z I0524 18:32:34.745834       1 nodelink_controller.go:70] Adding providerID "aws:///us-east-1c/i-04d13f279d76baf40" for machine "odf-service-c778b-master-2" to indexer
2022-05-24T18:32:34.745866763Z I0524 18:32:34.745851       1 nodelink_controller.go:109] Adding internal IP "10.0.169.205" for machine "odf-service-c778b-master-2" to indexer
2022-05-24T18:32:34.745876425Z I0524 18:32:34.745864       1 nodelink_controller.go:109] Adding internal IP "10.0.128.34" for machine "odf-service-c778b-worker-us-east-1a-rxm4m" to indexer
2022-05-24T18:32:34.745876425Z I0524 18:32:34.745872       1 nodelink_controller.go:70] Adding providerID "aws:///us-east-1a/i-0603da9ae5d9f9bdd" for machine "odf-service-c778b-worker-us-east-1a-rxm4m" to indexer
2022-05-24T18:32:34.811447194Z I0524 18:32:34.811413       1 leaderelection.go:248] attempting to acquire leader lease openshift-machine-api/cluster-api-provider-nodelink-leader...
2022-05-24T18:32:51.979000633Z I0524 18:32:51.978953       1 nodelink_controller.go:91] Adding internal IP "10.0.166.35" for node "ip-10-0-166-35.ec2.internal" to indexer
2022-05-24T18:32:51.979000633Z I0524 18:32:51.978980       1 nodelink_controller.go:91] Adding internal IP "10.0.166.35" for node "ip-10-0-166-35.ec2.internal" to indexer
2022-05-24T18:32:51.979000633Z I0524 18:32:51.978990       1 nodelink_controller.go:57] Adding providerID "aws:///us-east-1c/i-0ba86b5155afe6b3e" for node "ip-10-0-166-35.ec2.internal" to indexer
