2022-05-24T18:40:08.722914421Z .:5353
2022-05-24T18:40:08.723012513Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:40:08.723022065Z CoreDNS-1.8.7
2022-05-24T18:40:08.723022065Z linux/amd64, go1.17.5, 
2022-05-24T20:15:20.623970847Z [INFO] 10.128.4.5:36310 - 7560 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00027572s
2022-05-24T20:15:29.598096482Z [INFO] 10.129.2.6:35726 - 180 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000272435s
2022-05-24T20:16:46.880401785Z [INFO] 10.131.2.2:60445 - 58507 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00028179s
2022-05-24T20:20:29.908870339Z [INFO] 10.129.2.6:38917 - 30775 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000401035s
2022-05-24T20:22:57.164695001Z [INFO] 10.128.0.75:43726 - 58344 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000401882s
2022-05-24T20:23:13.221097371Z [INFO] 10.131.2.8:55087 - 48627 "AAAA IN token-refresher.openshift-monitoring.svc.cluster.local.ec2.internal. udp 96 false 512" NXDOMAIN qr,rd,ra 85 0.000355238s
2022-05-24T20:23:33.324529935Z [INFO] 10.128.4.12:42991 - 27630 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000408786s
2022-05-24T20:23:47.342619899Z [INFO] 10.131.2.2:49637 - 50608 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000333721s
2022-05-24T20:26:22.410564662Z [INFO] 10.128.0.1:64529 - 15234 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000337193s
2022-05-24T20:26:53.087051347Z [INFO] 10.128.0.28:51399 - 34283 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000261046s
2022-05-24T20:27:51.343420623Z [INFO] 10.131.0.6:40133 - 11181 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.0002887s
