2022-05-24T18:44:21.636900566Z .:5353
2022-05-24T18:44:21.637001734Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:44:21.637010502Z CoreDNS-1.8.7
2022-05-24T18:44:21.637010502Z linux/amd64, go1.17.5, 
2022-05-24T20:22:55.618444625Z [INFO] 10.129.0.4:40149 - 35671 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00030221s
2022-05-24T20:23:33.224267087Z [INFO] 10.128.4.12:35746 - 8555 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000570699s
2022-05-24T20:23:33.504091612Z [INFO] 10.128.4.12:51275 - 57670 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000332947s
2022-05-24T20:24:51.186594402Z [INFO] 10.131.0.6:39902 - 33043 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00044462s
2022-05-24T20:31:05.794195575Z [INFO] 10.131.2.5:54215 - 725 "A IN inputs1.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000371158s
2022-05-24T20:31:51.546872922Z [INFO] 10.131.0.6:44695 - 40368 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000679465s
2022-05-24T20:31:56.205037130Z [INFO] 10.129.0.4:39179 - 25295 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000288337s
2022-05-24T20:32:51.612223711Z [INFO] 10.131.0.6:54857 - 19700 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.00027063s
2022-05-24T20:33:47.445037224Z [INFO] 10.128.0.75:44966 - 18733 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000326292s
2022-05-24T20:34:21.369333057Z [INFO] 10.130.0.10:52272 - 58390 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000304221s
2022-05-24T20:38:07.554032033Z [INFO] 10.128.0.75:59293 - 7031 "A IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.002522734s
2022-05-24T20:38:53.943556195Z [INFO] 10.128.0.28:41419 - 36565 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000266863s
2022-05-24T20:39:16.371024923Z [INFO] 10.128.2.5:58334 - 32613 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000388552s
2022-05-24T20:39:56.728019363Z [INFO] 10.129.0.4:37275 - 46535 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000587695s
2022-05-24T20:43:23.051426541Z [INFO] 10.131.2.5:48283 - 36844 "A IN inputs1.osdsecuritylogs.splunkcloud.com.ec2.internal. udp 81 false 512" NXDOMAIN qr,rd,ra 70 0.000421703s
2022-05-24T20:44:28.080321686Z [INFO] 10.128.4.12:38066 - 32785 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000378251s
2022-05-24T20:49:31.257025396Z [INFO] 10.129.2.6:58475 - 13581 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000294791s
2022-05-24T20:49:52.475976597Z [INFO] 10.128.0.1:33339 - 53373 "A IN api.openshift.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000236195s
2022-05-24T20:50:11.948853996Z [INFO] 10.128.0.75:60818 - 31824 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000662322s
2022-05-24T20:50:12.244187312Z [INFO] 10.128.0.75:47007 - 58199 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.000276827s
2022-05-24T20:51:20.912454799Z [INFO] 10.128.4.12:39951 - 49512 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000361115s
2022-05-24T20:52:51.862539732Z [INFO] 10.128.4.12:37937 - 56834 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000319982s
