2022-05-24T19:21:49.632589893Z level=info ts=2022-05-24T19:21:49.630759901Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:21:51.574954497Z level=info ts=2022-05-24T19:21:51.574901862Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:21:51.575093694Z level=info ts=2022-05-24T19:21:51.574907656Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:21:51.613427547Z level=info ts=2022-05-24T19:21:51.613380092Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:21:51.902501170Z level=info ts=2022-05-24T19:21:51.902448918Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:22:06.589286424Z level=info ts=2022-05-24T19:22:06.589232779Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:22:06.591693894Z level=info ts=2022-05-24T19:22:06.589265517Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:22:08.539821987Z level=info ts=2022-05-24T19:22:08.539761423Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:22:08.539970107Z level=info ts=2022-05-24T19:22:08.539797802Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:22:08.580776343Z level=info ts=2022-05-24T19:22:08.580717758Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:22:08.823817182Z level=info ts=2022-05-24T19:22:08.823769056Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:36:49.628427008Z level=info ts=2022-05-24T19:36:49.62837517Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:36:49.628498164Z level=info ts=2022-05-24T19:36:49.628458697Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:36:51.583884350Z level=info ts=2022-05-24T19:36:51.583824922Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:36:51.583947240Z level=info ts=2022-05-24T19:36:51.583870346Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:36:51.623409518Z level=info ts=2022-05-24T19:36:51.623356793Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:36:51.876139053Z level=info ts=2022-05-24T19:36:51.876079837Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:37:06.634350945Z level=info ts=2022-05-24T19:37:06.634301421Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:37:06.637660660Z level=info ts=2022-05-24T19:37:06.637595986Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:37:08.546071666Z level=info ts=2022-05-24T19:37:08.546015025Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:37:08.546365851Z level=info ts=2022-05-24T19:37:08.546322098Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:37:08.583904951Z level=info ts=2022-05-24T19:37:08.583854976Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
2022-05-24T19:37:08.829907101Z level=info ts=2022-05-24T19:37:08.829859511Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:51:49.621691813Z level=info ts=2022-05-24T19:51:49.621619177Z caller=operator.go:1220 component=prometheusoperator key=openshift-monitoring/k8s msg="sync prometheus"
2022-05-24T19:51:49.621857875Z level=info ts=2022-05-24T19:51:49.621814961Z caller=operator.go:741 component=alertmanageroperator key=openshift-monitoring/main msg="sync alertmanager"
