2022-05-24T18:36:06.461341167Z .:5353
2022-05-24T18:36:06.461572834Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:36:06.461572834Z CoreDNS-1.8.7
2022-05-24T18:36:06.461572834Z linux/amd64, go1.17.5, 
2022-05-24T19:28:42.079509942Z [INFO] 10.128.4.12:56528 - 52057 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000413429s
2022-05-24T19:28:42.079509942Z [INFO] 10.128.4.12:46623 - 11626 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000442174s
2022-05-24T19:28:42.231501280Z [INFO] 10.128.4.12:45423 - 54968 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000285422s
2022-05-24T19:28:42.701024611Z [INFO] 10.128.4.12:45753 - 20473 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000326133s
2022-05-24T19:28:42.915372001Z [INFO] 10.128.4.12:40820 - 38049 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.00034141s
2022-05-24T19:28:42.915372001Z [INFO] 10.128.4.12:57972 - 40694 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000367091s
2022-05-24T19:28:43.249631315Z [INFO] 10.128.4.12:60536 - 41570 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.008594047s
2022-05-24T19:28:43.544488336Z [INFO] 10.128.4.12:49379 - 53968 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000345333s
2022-05-24T19:28:53.988841619Z [INFO] 10.128.4.12:40302 - 48335 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000330439s
2022-05-24T19:31:17.316320101Z [INFO] 10.128.4.12:43156 - 39643 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000284147s
2022-05-24T19:31:17.325442067Z [INFO] 10.128.4.12:42500 - 16326 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.004044555s
2022-05-24T19:31:27.548060154Z [INFO] 10.129.2.6:47838 - 40860 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000307069s
2022-05-24T19:31:30.886123715Z [INFO] 10.128.4.12:54125 - 1552 "AAAA IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000280054s
2022-05-24T19:31:38.892517015Z [INFO] 10.128.4.12:55212 - 16102 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000329089s
2022-05-24T19:31:39.083486101Z [INFO] 10.128.4.12:53125 - 38226 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000352414s
2022-05-24T19:33:22.860036770Z [INFO] 10.128.4.12:47945 - 38524 "A IN observatorium-mst.api.openshift.com.ec2.internal. udp 77 false 512" NXDOMAIN qr,rd,ra 66 0.000356658s
2022-05-24T19:33:49.463332684Z [INFO] 10.128.0.28:35311 - 57949 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000369434s
