2022-05-24T18:27:36.952892434Z .:5353
2022-05-24T18:27:36.953043610Z [INFO] plugin/reload: Running configuration MD5 = 477feca3db059e6b9063274509ca76ee
2022-05-24T18:27:36.953057071Z CoreDNS-1.8.7
2022-05-24T18:27:36.953057071Z linux/amd64, go1.17.5, 
2022-05-24T18:39:27.530698064Z [INFO] 10.131.2.7:41233 - 37339 "AAAA IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000368645s
2022-05-24T18:39:27.531790662Z [INFO] 10.131.2.7:35249 - 43309 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000270761s
2022-05-24T18:39:27.568289567Z [INFO] 10.131.2.7:48757 - 63667 "A IN alertmanager-main-0.alertmanager-operated.ec2.internal. udp 83 false 512" NXDOMAIN qr,rd,ra 72 0.000262075s
2022-05-24T18:39:27.569294072Z [INFO] 10.131.2.7:58994 - 3060 "AAAA IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000193484s
2022-05-24T18:39:42.531522213Z [INFO] 10.131.2.7:33571 - 44547 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000320132s
2022-05-24T18:39:45.857763773Z [INFO] 10.128.0.28:42773 - 40473 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000308182s
2022-05-24T18:39:46.441656366Z [INFO] 10.128.0.75:47768 - 48377 "AAAA IN sts.amazonaws.com.ec2.internal. udp 59 false 512" NXDOMAIN qr,rd,ra 48 0.00036671s
2022-05-24T18:39:51.223209009Z [INFO] 10.128.4.2:45751 - 27776 "A IN redhat.com.ec2.internal. udp 52 false 512" NXDOMAIN qr,rd,ra 41 0.000362156s
2022-05-24T18:40:02.544444028Z [INFO] 10.131.2.7:46170 - 35048 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000219685s
2022-05-24T18:40:02.552068656Z [INFO] 10.131.2.7:43488 - 18325 "A IN alertmanager-main-0.alertmanager-operated. udp 70 false 512" NXDOMAIN qr,rd,ra 59 0.000432359s
